,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
215,10,0,-1,2,2468,CCALPeps,894.4197999999999,889.6043999999999,0.030473138456855668,0.030473138456855696,0.16952686154314428,0.16952686154314434
216,10,0,-1,2,3702,CVE,4.712199999999999,4.1102,0.015556870749942633,0.015556870749942633,0.18444312925005737,0.18444312925005737
217,10,0,-1,2,3702,CCVE,149.4648,27.7224,0.015556870749942628,0.015556870749942628,0.18444312925005737,0.18444312925005737
218,10,0,-1,2,3702,CCALPeps,917.7484000000001,913.5448,0.015575834888127752,0.015593674267602015,0.18440632573239799,0.18442416511187226
219,10,0,-1,2,4936,CVE,4.639800000000001,4.066,0.19164,0.19164,0.008360000000000001,0.008360000000000001
220,10,0,-1,2,4936,CCVE,153.506,30.430999999999994,0.19164,0.19164,0.008359999999999998,0.008359999999999998
221,10,0,-1,2,4936,CCALPeps,1085.1453999999999,1080.9811999999997,0.19160062669314598,0.19161521831507572,0.0083847816849243,0.008399373306854007
222,10,0,-1,2,6170,CVE,5.4528,4.811,0.124,0.124,0.07599999999999998,0.07599999999999998
223,10,0,-1,2,6170,CCVE,146.43800000000002,30.3148,0.124,0.124,0.07599999999999998,0.07599999999999998
224,10,0,-1,2,6170,CCALPeps,1054.1982,1049.9224,0.12398280619873217,0.12399519648115184,0.07600480351884815,0.07601719380126784
225,10,0,-1,2,7404,CVE,4.8528,4.3149999999999995,0.034272421814422326,0.034272421814422326,0.16572757818557765,0.16572757818557765
226,10,0,-1,2,7404,CCVE,140.648,29.138599999999997,0.034272421814422326,0.034272421814422326,0.16572757818557765,0.16572757818557765
227,10,0,-1,2,7404,CCALPeps,762.5305999999999,758.4454,0.03431595996861554,0.03431595996861557,0.16568404003138443,0.16568404003138446
228,10,0,-1,2,8638,CVE,4.6008000000000004,4.0748,0.10447304473044731,0.10447304473044731,0.0955269552695527,0.0955269552695527
229,10,0,-1,2,8638,CCVE,144.6026,28.0956,0.10447304473044731,0.10447304473044731,0.0955269552695527,0.0955269552695527
230,10,0,-1,2,8638,CCALPeps,919.7678,915.1496,0.1046187059871698,0.10462088031782288,0.09537911968217712,0.0953812940128302
231,10,0,-1,2,9872,CVE,4.913600000000001,4.2712,0.05388827014230679,0.05388827014230679,0.14611172985769322,0.14611172985769322
232,10,0,-1,2,9872,CCVE,146.97719999999998,29.104000000000003,0.05388827014230679,0.05388827014230679,0.1461117298576932,0.1461117298576932
233,10,0,-1,2,9872,CCALPeps,685.2068,680.9414,0.05390950920142792,0.053909808462641526,0.14609019153735847,0.1460904907985721
234,10,0,-1,2,11106,CVE,5.345000000000001,4.7238,0.17828326009502563,0.17828326009502563,0.021716739904974372,0.021716739904974372
235,10,0,-1,2,11106,CCVE,147.8032,31.4086,0.17828326009502563,0.17828326009502563,0.021716739904974372,0.021716739904974372
236,10,0,-1,2,11106,CCALPeps,827.1780000000001,823.144,0.17826605749436164,0.17826605749436167,0.021733942505638343,0.02173394250563836
237,10,0,-1,2,12340,CVE,4.7018,4.090999999999999,0.19568000000000002,0.19568000000000002,0.004319999999999999,0.004319999999999999
238,10,0,-1,2,12340,CCVE,142.666,30.685000000000002,0.19568000000000002,0.19568000000000002,0.00432,0.00432
239,10,0,-1,2,12340,CCALPeps,1104.286,1100.0625999999997,0.1956415697030504,0.19566036006519008,0.004339639934809925,0.004358430296949594
240,11,0,-1,2,1234,CVE,6.3848,5.783,0.07260836676425587,0.07260836676425587,0.12739163323574412,0.12739163323574412
241,11,0,-1,2,1234,CCVE,193.79659999999998,65.16279999999999,0.07260836676425586,0.07260836676425586,0.12739163323574415,0.12739163323574415
242,11,0,-1,2,1234,CCALPeps,1125.3098,1120.5513999999998,0.07265891929039378,0.07266432519967424,0.12733567480032576,0.1273410807096062
243,11,0,-1,2,2468,CVE,5.5462,4.9524,0.080564,0.080564,0.11943600000000001,0.11943600000000001
244,11,0,-1,2,2468,CCVE,185.8992,58.6206,0.080564,0.080564,0.11943600000000001,0.11943600000000001
245,11,0,-1,2,2468,CCALPeps,1025.8536,1020.0946,0.08059114957696606,0.0805951789486388,0.11940482105136122,0.11940885042303395
246,11,0,-1,2,3702,CVE,5.811,5.2589999999999995,0.1848803147222903,0.1848803147222903,0.015119685277709705,0.015119685277709705
247,11,0,-1,2,3702,CCVE,191.3944,62.1622,0.1848803147222903,0.1848803147222903,0.015119685277709705,0.015119685277709705
248,11,0,-1,2,3702,CCALPeps,1139.8292,1135.116,0.18483899842442683,0.1848389984244701,0.015161001575529891,0.01516100157557316
249,11,0,-1,2,4936,CVE,6.2780000000000005,5.668,0.088,0.088,0.11200000000000002,0.11200000000000002
250,11,0,-1,2,4936,CCVE,200.203,67.01820000000001,0.088,0.088,0.11200000000000002,0.11200000000000002
251,11,0,-1,2,4936,CCALPeps,1017.8918000000001,1013.4757999999999,0.08801219682051388,0.08801219682051396,0.11198780317948605,0.11198780317948613
252,11,0,-1,2,6170,CVE,5.9336,5.380000000000001,0.0648,0.0648,0.13520000000000001,0.13520000000000001
253,11,0,-1,2,6170,CCVE,186.3392,65.1344,0.0648,0.0648,0.13520000000000001,0.13520000000000001
254,11,0,-1,2,6170,CCALPeps,992.1863999999999,987.1599999999999,0.06480144079988956,0.06480144079988963,0.13519855920011037,0.13519855920011042
255,11,0,-1,2,7404,CVE,5.7646,5.305400000000001,0.09021557805196458,0.09021557805196458,0.10978442194803543,0.10978442194803543
256,11,0,-1,2,7404,CCVE,188.121,56.565200000000004,0.09021557805196456,0.09021557805196456,0.10978442194803543,0.10978442194803543
257,11,0,-1,2,7404,CCALPeps,1295.0858,1290.201,0.09024425677677154,0.09024425677677164,0.10975574322322837,0.10975574322322845
258,11,0,-1,2,8638,CVE,5.697,5.1346,0.12866199821284904,0.12866199821284904,0.07133800178715095,0.07133800178715095
259,11,0,-1,2,8638,CCVE,191.1452,58.10640000000001,0.12866199821284904,0.12866199821284904,0.07133800178715094,0.07133800178715094
260,11,0,-1,2,8638,CCALPeps,1014.9100000000001,1009.8201999999999,0.12866840925396902,0.12866840925396908,0.07133159074603093,0.07133159074603097
261,11,0,-1,2,9872,CVE,5.8844,5.3974,0.1,0.1,0.1,0.1
262,11,0,-1,2,9872,CCVE,190.829,63.4168,0.1,0.1,0.1,0.1
263,11,0,-1,2,9872,CCALPeps,1060.886,1055.8586,0.10000839748041992,0.10000839748042001,0.09999160251957999,0.09999160251958009
264,11,0,-1,2,11106,CVE,5.7059999999999995,5.181399999999999,0.19524,0.19524,0.004760000000000001,0.004760000000000001
265,11,0,-1,2,11106,CCVE,191.0738,62.81759999999999,0.19524,0.19524,0.0047599999999999995,0.0047599999999999995
266,11,0,-1,2,11106,CCALPeps,1016.8144,1012.5514000000001,0.19521313824840023,0.1952156518083049,0.004784348191695087,0.004786861751599759
267,11,0,-1,2,12340,CVE,6.321000000000001,5.7642,0.01678,0.01678,0.18322,0.18322
268,11,0,-1,2,12340,CCVE,190.5268,63.998400000000004,0.01678,0.01678,0.18322,0.18322
269,11,0,-1,2,12340,CCALPeps,1039.7212,1034.8665999999998,0.01680541474616832,0.016805414746168333,0.18319458525383167,0.18319458525383167
270,12,0,-1,2,1234,CVE,7.1482,6.6574,0.1647623658326143,0.1647623658326143,0.03523763416738568,0.03523763416738568
271,12,0,-1,2,1234,CCVE,200.8806,75.5956,0.16420432022679649,0.16493675508443237,0.0350632449155676,0.0357956797732035
272,12,0,-1,2,1234,CCALPeps,1066.5932,1061.9474,0.1641909407412892,0.1649232345551655,0.03507676544483451,0.03580905925871081
273,12,0,-1,2,2468,CVE,6.9030000000000005,6.410000000000001,0.06946325142265361,0.06946325142265361,0.13053674857734637,0.13053674857734637
274,12,0,-1,2,2468,CCVE,202.80479999999997,76.753,0.06946325142265364,0.06946325142265364,0.13053674857734637,0.13053674857734637
275,12,0,-1,2,2468,CCALPeps,1183.4071999999999,1179.0132,0.0694657019055586,0.06946570190555867,0.13053429809444134,0.1305342980944414
276,12,0,-1,2,3702,CVE,7.4106,6.880800000000001,0.07940152,0.07940152,0.12059848,0.12059848
277,12,0,-1,2,3702,CCVE,213.71760000000003,84.96279999999999,0.07617016000000001,0.08034399999999998,0.11965600000000001,0.12382984000000001
278,12,0,-1,2,3702,CCALPeps,766.7198000000001,762.4882,0.07618912052340927,0.08035484877595246,0.11964515122404755,0.12381087947659072
279,12,0,-1,2,4936,CVE,6.931400000000001,6.488200000000001,0.100515,0.100515,0.09948499999999999,0.09948499999999999
280,12,0,-1,2,4936,CCVE,217.902,84.5062,0.100515,0.100515,0.09948499999999999,0.09948499999999999
281,12,0,-1,2,4936,CCALPeps,1409.4738000000002,1405.0514,0.10049139696793544,0.10049452925362512,0.09950547074637488,0.09950860303206456
282,12,0,-1,2,6170,CVE,7.3504000000000005,6.8342,0.06728866575801849,0.06728866575801849,0.1327113342419815,0.1327113342419815
283,12,0,-1,2,6170,CCVE,203.85160000000002,76.03299999999999,0.06728866575801852,0.06728866575801852,0.1327113342419815,0.1327113342419815
284,12,0,-1,2,6170,CCALPeps,1020.6342000000001,1015.6766000000001,0.06729286739739167,0.06729286739739174,0.13270713260260827,0.13270713260260833
285,12,0,-1,2,7404,CVE,7.433800000000001,6.898999999999999,0.026509574,0.026509574,0.173490426,0.173490426
286,12,0,-1,2,7404,CCVE,201.53539999999998,74.93440000000001,0.024976658000000002,0.03384567200000001,0.16615432800000002,0.17502334199999997
287,12,0,-1,2,7404,CCALPeps,890.8351999999999,886.135,0.02500991289850695,0.033865217680609835,0.16613478231939016,0.17499008710149305
288,12,0,-1,2,8638,CVE,7.7692000000000005,7.301,0.16036313600000002,0.16036313600000002,0.039636864,0.039636864
289,12,0,-1,2,8638,CCVE,208.23960000000002,81.0196,0.16036313600000002,0.16036313600000002,0.039636864,0.039636864
290,12,0,-1,2,8638,CCALPeps,916.1328,910.7278,0.16033293034327126,0.16033316756249494,0.03966683243750506,0.03966706965672874
291,12,0,-1,2,9872,CVE,7.1158,6.698,0.1857006951781804,0.1857006951781804,0.014299304821819566,0.014299304821819566
292,12,0,-1,2,9872,CCVE,209.85679999999996,83.5106,0.1857006951781804,0.1857006951781804,0.01429930482181957,0.01429930482181957
293,12,0,-1,2,9872,CCALPeps,1248.1828,1243.0822,0.185685085593054,0.18568567306681966,0.014314326933180336,0.014314914406946011
294,12,0,-1,2,11106,CVE,7.3446,6.881600000000001,0.048419279999999995,0.048419279999999995,0.15158072,0.15158072
295,12,0,-1,2,11106,CCVE,207.2416,76.28659999999999,0.048419279999999995,0.048419279999999995,0.15158072,0.15158072
296,12,0,-1,2,11106,CCALPeps,1082.3754000000001,1077.4796000000001,0.04842088268117302,0.04842092650600397,0.15157907349399605,0.15157911731882698
297,12,0,-1,2,12340,CVE,7.1190000000000015,6.627600000000001,0.092,0.092,0.10800000000000001,0.10800000000000001
298,12,0,-1,2,12340,CCVE,211.4922,85.3098,0.092,0.092,0.10800000000000001,0.10800000000000001
299,12,0,-1,2,12340,CCALPeps,1464.6886,1459.9074,0.09200159984001595,0.09200159984001605,0.10799840015998394,0.10799840015998405
300,13,0,-1,2,1234,CVE,14.663400000000001,14.048599999999999,0.14,0.14,0.06,0.06
301,13,0,-1,2,1234,CCVE,309.2004,175.41639999999998,0.14,0.14,0.06,0.06
302,13,0,-1,2,1234,CCALPeps,1663.9834000000003,1658.8836,0.1399935595403147,0.13999355954031475,0.06000644045968524,0.060006440459685305
303,13,0,-1,2,2468,CVE,14.618200000000002,10.9726,0.14978712317630608,0.14978712317630608,0.05021287682369391,0.05021287682369391
304,13,0,-1,2,2468,CCVE,327.2526,184.38360000000003,0.1497871231763061,0.1497871231763061,0.05021287682369392,0.05021287682369392
305,13,0,-1,2,2468,CCALPeps,1592.8486,1588.1,0.1497839508118296,0.14978395081182966,0.05021604918817033,0.050216049188170395
306,13,0,-1,2,3702,CVE,13.719,13.178799999999999,0.18431533389031862,0.18431533389031862,0.015684666109681396,0.015684666109681396
307,13,0,-1,2,3702,CCVE,306.66700000000003,157.68099999999998,0.18431533389031862,0.18431533389031862,0.015684666109681403,0.015684666109681403
308,13,0,-1,2,3702,CCALPeps,1045.9217999999998,1040.6709999999998,0.18429698114575427,0.1842970298962407,0.01570297010375932,0.015703018854245743
309,13,0,-1,2,4936,CVE,14.186000000000002,13.5806,0.03633088,0.03633088,0.16366912000000003,0.16366912000000003
310,13,0,-1,2,4936,CCVE,313.6202,183.79379999999998,0.033301120000000003,0.03767871999999999,0.16232127999999998,0.16669888
311,13,0,-1,2,4936,CCALPeps,1334.1922,1329.5602,0.033838083909998505,0.03719335443866232,0.16280664556133767,0.16616191609000147
312,13,0,-1,2,6170,CVE,15.353,14.693400000000002,0.19468857583077318,0.19468857583077318,0.005311424169226851,0.005311424169226851
313,13,0,-1,2,6170,CCVE,307.7224,160.7448,0.19468857583077318,0.19468857583077318,0.005311424169226849,0.005311424169226849
314,13,0,-1,2,6170,CCALPeps,1350.3328,1346.0348,0.19466977875022917,0.19466977875022917,0.005330221249770821,0.005330221249770828
315,13,0,-1,2,7404,CVE,14.801599999999999,14.2006,0.0689024,0.0689024,0.13109759999999998,0.13109759999999998
316,13,0,-1,2,7404,CCVE,307.99899999999997,176.20080000000002,0.0689024,0.0689024,0.13109760000000004,0.13109760000000004
317,13,0,-1,2,7404,CCALPeps,1620.5166,1615.3078,0.06892516899141393,0.06892516899141399,0.13107483100858602,0.13107483100858608
318,13,0,-1,2,8638,CVE,14.576999999999998,14.018199999999998,0.005292437807865013,0.005292437807865013,0.19470756219213498,0.19470756219213498
319,13,0,-1,2,8638,CCVE,320.04200000000003,179.8888,0.005292437807865013,0.005292437807865013,0.19470756219213498,0.19470756219213498
320,13,0,-1,2,8638,CCALPeps,1392.7928,1388.4194,0.005315838875250184,0.005315841454971373,0.19468415854502863,0.19468416112474982
321,13,0,-1,2,9872,CVE,14.265799999999999,13.645399999999999,0.17095307700851953,0.17095307700851953,0.029046922991480463,0.029046922991480463
322,13,0,-1,2,9872,CCVE,327.35479999999995,188.7412,0.17095307700851953,0.17095307700851953,0.029046922991480463,0.029046922991480463
323,13,0,-1,2,9872,CCALPeps,1490.8701999999998,1486.0222,0.17092940984243762,0.1709294102757505,0.029070589724249495,0.02907059015756235
324,13,0,-1,2,11106,CVE,14.600999999999999,11.428999999999998,0.07551279999999999,0.07551279999999999,0.12448719999999999,0.12448719999999999
325,13,0,-1,2,11106,CCVE,315.26660000000004,183.4066,0.07551279999999999,0.07551279999999999,0.12448719999999998,0.12448719999999998
326,13,0,-1,2,11106,CCALPeps,1083.868,1079.1398000000002,0.07551666098510791,0.07551702068521474,0.12448297931478525,0.1244833390148921
327,13,0,-1,2,12340,CVE,15.429000000000002,11.8888,0.192219,0.192219,0.007780999999999998,0.007780999999999998
328,13,0,-1,2,12340,CCVE,295.9488,165.9674,0.192219,0.192219,0.007780999999999998,0.007780999999999998
329,13,0,-1,2,12340,CCALPeps,1829.6853999999998,1825.0053999999996,0.19220072658990575,0.19220072658990575,0.007799273410094254,0.007799273410094254
330,14,0,-1,2,1234,CVE,17.2232,16.4546,0.129939076,0.129939076,0.07006092400000001,0.07006092400000001
331,14,0,-1,2,1234,CCVE,379.1726,237.7108,0.129939076,0.129939076,0.07006092400000001,0.07006092400000001
332,14,0,-1,2,1234,CCALPeps,1875.1514,1870.4826,0.12992194493190617,0.129934337213726,0.07006566278627402,0.07007805506809381
333,14,0,-1,2,2468,CVE,17.9458,12.7896,0.198861,0.198861,0.001139,0.001139
334,14,0,-1,2,2468,CCVE,416.56579999999997,284.0866,0.198861,0.198861,0.0011389999999999998,0.0011389999999999998
335,14,0,-1,2,2468,CCALPeps,1845.3218000000002,1840.8763999999999,0.19883868826222473,0.19883868826222473,0.0011613117377752725,0.0011613117377752794
336,14,0,-1,2,3702,CVE,16.5702,15.9696,0.15512420416410103,0.15512420416410103,0.04487579583589897,0.04487579583589897
337,14,0,-1,2,3702,CCVE,346.3892,210.92219999999998,0.15512420416410103,0.15512420416410103,0.04487579583589898,0.04487579583589898
338,14,0,-1,2,3702,CCALPeps,1087.3658,1082.401,0.15507490107075628,0.15507543446050945,0.044924565539490556,0.04492509892924372
339,14,0,-1,2,4936,CVE,18.723399999999998,17.995800000000003,0.19,0.19,0.01,0.01
340,14,0,-1,2,4936,CCVE,387.73400000000004,233.2298,0.19,0.19,0.010000000000000004,0.010000000000000004
341,14,0,-1,2,4936,CCALPeps,1841.3016,1836.3128000000002,0.1899471796823613,0.18995510153516268,0.010044898464837314,0.010052820317638688
342,14,0,-1,2,6170,CVE,17.3732,16.7254,0.1965216,0.1965216,0.0034783999999999995,0.0034783999999999995
343,14,0,-1,2,6170,CCVE,374.95619999999997,231.4242,0.1965216,0.1965216,0.0034783999999999987,0.0034783999999999987
344,14,0,-1,2,6170,CCALPeps,1418.0276,1412.8792,0.1964931538076291,0.1964931538076291,0.0035068461923708936,0.0035068461923708936
345,14,0,-1,2,7404,CVE,17.665399999999998,17.035000000000004,0.005999999999999999,0.005999999999999999,0.194,0.194
346,14,0,-1,2,7404,CCVE,400.92780000000005,261.4946,0.005999999999999999,0.005999999999999999,0.194,0.194
347,14,0,-1,2,7404,CCALPeps,1476.3082,1470.6858,0.006025796020537929,0.006025796020537936,0.19397420397946205,0.19397420397946208
