,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
16,3,0,-1,3,7404,CCVE,95.39379999999998,4.9036,0.0007061713233036537,0.0007061713233036537,0.01568928461774639,0.01568928461774639,0.18360454405894994,0.18360454405894994
17,3,0,-1,3,7404,CCALPeps,3160.738,3157.8525999999997,0.000718581107196424,0.0007185811071964254,0.015726085538825027,0.01572608553882506,0.1835553333539785,0.18355533335397856
18,3,0,-1,3,8638,CVE,2.3275999999999994,1.9322,0.06348122866894199,0.06348122866894199,0.038225255972696257,0.038225255972696257,0.09829351535836178,0.09829351535836178
19,3,0,-1,3,8638,CCVE,124.76180000000002,5.244000000000001,0.06348122866894199,0.06348122866894199,0.03822525597269624,0.03822525597269624,0.09829351535836178,0.09829351535836178
20,3,0,-1,3,8638,CCALPeps,3200.6924,3197.9808,0.06349070874742231,0.06349070874742255,0.038393399225415265,0.03839339922541541,0.09811589202716205,0.0981158920271623
21,3,0,-1,3,9872,CVE,2.4606000000000003,2.0205999999999995,0.08615384615384615,0.08615384615384615,0.09333333333333332,0.09333333333333332,0.02051282051282051,0.02051282051282051
22,3,0,-1,3,9872,CCVE,98.134,8.1998,0.08615384615384615,0.08615384615384615,0.09333333333333334,0.09333333333333334,0.020512820512820513,0.020512820512820513
23,3,0,-1,3,9872,CCALPeps,3494.9770000000003,3492.0606,0.0858347522691307,0.08583475226913082,0.09362599846268141,0.09362599846268156,0.020539249268187725,0.02053924926818777
24,3,0,-1,3,11106,CVE,2.2826,1.8844,0.052301255230125535,0.052301255230125535,0.14393305439330545,0.14393305439330545,0.0037656903765690385,0.0037656903765690385
25,3,0,-1,3,11106,CCVE,106.11179999999999,5.994400000000001,0.05230125523012552,0.05230125523012552,0.14393305439330545,0.14393305439330545,0.0037656903765690376,0.0037656903765690376
26,3,0,-1,3,11106,CCALPeps,3671.7903999999994,3668.9244,0.05228625045293943,0.052286250452939484,0.14391649154426828,0.1439164915442684,0.0037972580027921692,0.0037972580027922143
27,3,0,-1,3,12340,CVE,2.3348000000000004,1.9318000000000002,0.18645287958115184,0.18645287958115184,0.013547120418848166,0.013547120418848166,0.0,0.0
28,3,0,-1,3,12340,CCVE,102.7336,4.631200000000001,0.18645287958115184,0.18645287958115184,0.013547120418848166,0.013547120418848166,0.0,0.0
29,3,0,-1,3,12340,CCALPeps,3507.9739999999997,3505.1082,0.1864259115611439,0.186425911561144,0.01356301091441268,0.013563010914412737,1.1077524443333798e-05,1.1077524443333827e-05
30,4,0,-1,3,1234,CVE,3.5357999999999996,3.0896,0.014045930191726948,0.014045930191726948,0.16904385031360242,0.16904385031360242,0.01691021949467065,0.01691021949467065
31,4,0,-1,3,1234,CCVE,139.4742,13.404599999999999,0.014045930191726947,0.014045930191726947,0.1690438503136024,0.1690438503136024,0.01691021949467065,0.01691021949467065
32,4,0,-1,3,1234,CCALPeps,6958.962600000001,6955.3438,0.01405873963383027,0.014058739633830294,0.1689907098043165,0.16899070980431655,0.0169505505618532,0.01695055056185323
33,4,0,-1,3,2468,CVE,3.6942,3.1498,0.0,0.0,0.162392263492715,0.162392263492715,0.037607736507285036,0.037607736507285036
34,4,0,-1,3,2468,CCVE,142.314,15.945200000000003,0.0,0.0,0.16239226349271493,0.16239226349271493,0.037607736507285036,0.037607736507285036
35,4,0,-1,3,2468,CCALPeps,7213.3678,7209.4184,2.962290715016231e-05,2.9622907150162377e-05,0.1623100048602377,0.16231000486023778,0.03766037223261208,0.037660372232612135
36,4,0,-1,3,3702,CVE,3.7065999999999995,3.1778,0.15321268210427247,0.15321268210427247,0.04241093311895845,0.04241093311895845,0.0043763847767690845,0.0043763847767690845
37,4,0,-1,3,3702,CCVE,129.9856,14.8764,0.15321268210427247,0.15321268210427247,0.04241093311895845,0.04241093311895845,0.004376384776769083,0.004376384776769083
38,4,0,-1,3,3702,CCALPeps,6316.5922,6313.1975999999995,0.1531513183202756,0.15315131832027576,0.04245754974196287,0.04245754974196298,0.004391131937761381,0.004391131937761422
39,4,0,-1,3,4936,CVE,3.7676000000000003,3.3058,0.0008258645769790249,0.0008258645769790249,0.18284923279057763,0.18284923279057763,0.016324902632443336,0.016324902632443336
40,4,0,-1,3,4936,CCVE,144.636,18.6456,0.0008258645769790249,0.0008258645769790249,0.18284923279057763,0.18284923279057763,0.016324902632443336,0.016324902632443336
41,4,0,-1,3,4936,CCALPeps,8649.426800000001,8645.588399999999,0.000832674022622658,0.000832674022622661,0.18279977307907497,0.182799773079075,0.016367552898302343,0.016367552898302364
42,4,0,-1,3,6170,CVE,3.7165999999999997,3.2817999999999996,0.09689591194312994,0.09689591194312994,0.09453605453522065,0.09453605453522065,0.008568033521649396,0.008568033521649396
43,4,0,-1,3,6170,CCVE,127.1184,11.374799999999999,0.09689591194312995,0.09689591194312995,0.09453605453522065,0.09453605453522065,0.008568033521649398,0.008568033521649398
44,4,0,-1,3,6170,CCALPeps,7342.7404,7338.7364,0.09689939417891542,0.0968993941789156,0.09451265588693296,0.09451265588693311,0.008587949934151433,0.008587949934151453
45,4,0,-1,3,7404,CVE,3.6903999999999995,3.2281999999999997,0.04803790525529816,0.04803790525529816,0.03151519620947447,0.03151519620947447,0.12044689853522736,0.12044689853522736
46,4,0,-1,3,7404,CCVE,123.2606,11.5616,0.04803790525529816,0.04803790525529816,0.03151519620947446,0.03151519620947446,0.12044689853522736,0.12044689853522736
47,4,0,-1,3,7404,CCALPeps,7426.75,7423.155000000001,0.0480550829186327,0.04805508291863282,0.03156317150133023,0.031563171501330284,0.12038174558003689,0.12038174558003707
48,4,0,-1,3,8638,CVE,3.7630000000000003,3.2643999999999997,0.011253382810007208,0.011253382810007208,0.09186057504815705,0.09186057504815705,0.09688604214183576,0.09688604214183576
49,4,0,-1,3,8638,CCVE,144.88680000000002,13.1154,0.011253382810007208,0.011253382810007208,0.09186057504815705,0.09186057504815705,0.09688604214183576,0.09688604214183576
50,4,0,-1,3,8638,CCALPeps,6463.298,6459.696400000001,0.011304670138619261,0.011304670138619292,0.09184740714022657,0.09184740714022671,0.09684792272115401,0.09684792272115414
51,4,0,-1,3,9872,CVE,3.6886,3.2281999999999997,0.002133015182947072,0.002133015182947072,0.16232385453777676,0.16232385453777676,0.03554313027927618,0.03554313027927618
52,4,0,-1,3,9872,CCVE,129.5256,16.8968,0.002133015182947072,0.002133015182947072,0.16232385453777676,0.16232385453777676,0.03554313027927618,0.03554313027927618
53,4,0,-1,3,9872,CCALPeps,6957.6182,6953.4216,0.0021464806539594566,0.0021464806539594613,0.1623131588409863,0.16231315884098638,0.03554036050505416,0.03554036050505425
54,4,0,-1,3,11106,CVE,3.6879999999999997,3.1846,0.009114346435735991,0.009114346435735991,0.057262597572844465,0.057262597572844465,0.13362305599141955,0.13362305599141955
55,4,0,-1,3,11106,CCVE,145.8204,17.2018,0.009114346435735993,0.009114346435735993,0.05726259757284445,0.05726259757284445,0.13362305599141958,0.13362305599141958
56,4,0,-1,3,11106,CCALPeps,9196.6716,9193.1398,0.00913385607654453,0.009133856076545217,0.057283419508187695,0.05728341950818845,0.13358272441526658,0.13358272441526708
57,4,0,-1,3,12340,CVE,3.7032,3.2077999999999998,0.0921139590961865,0.0921139590961865,0.0,0.0,0.10788604090381351,0.10788604090381351
58,4,0,-1,3,12340,CCVE,140.5986,14.082400000000002,0.0921139590961865,0.0921139590961865,0.0,0.0,0.10788604090381353,0.10788604090381353
59,4,0,-1,3,12340,CCALPeps,8151.645999999999,8147.88,0.09209771360028232,0.09209771360028245,2.358349991965887e-05,2.3583499919658924e-05,0.10787870289979788,0.10787870289979802
60,5,0,-1,3,1234,CVE,8.303799999999999,7.7182,0.05097135468262824,0.05097135468262824,0.1426964347164145,0.1426964347164145,0.0063322106009572774,0.0063322106009572774
61,5,0,-1,3,1234,CCVE,222.9652,70.691,0.05097135468262824,0.05097135468262824,0.14269643471641452,0.14269643471641452,0.0063322106009572774,0.0063322106009572774
